REC k=9 s=0,1,2 ab=2/1,3/1,4/3 q=1,1 t1=0 D=6 c=2
REC k=9 s=0,1,2 ab=2/1,4/1,5/4 q=1,1 t1=0 D=33 c=2
REC k=9 s=0,1,2 ab=2/1,5/1,6/5 q=1,1 t1=0 D=114 c=2
REC k=9 s=0,1,2 ab=2/1,6/1,7/6 q=1,1 t1=0 D=357 c=2
REC k=9 s=0,1,2 ab=2/1,7/1,8/7 q=1,1 t1=0 D=1086 c=2
REC k=9 s=0,1,2 ab=2/1,8/1,9/8 q=1,1 t1=0 D=3273 c=2
REC k=9 s=0,1,2 ab=2/1,9/1,10/9 q=1,1 t1=0 D=9834 c=2
REC k=9 s=0,1,3 ab=2/1,4/1,5/3 q=1,1 t1=0 D=33 c=2
REC k=9 s=0,1,3 ab=3/0,4/1,5/0 q=1,2 t1=0 D=23 c=12
REC k=9 s=0,1,3 ab=3/0,5/1,6/0 q=1,2 t1=0 D=104 c=12
REC k=9 s=0,1,3 ab=3/0,6/1,7/0 q=1,2 t1=0 D=347 c=12
REC k=9 s=0,1,3 ab=3/0,7/1,8/0 q=1,2 t1=0 D=1076 c=12
REC k=9 s=0,1,3 ab=3/0,8/1,9/0 q=1,2 t1=0 D=3263 c=12
REC k=9 s=0,1,3 ab=3/0,9/1,10/0 q=1,2 t1=0 D=9824 c=12
REC k=9 s=0,1,3 ab=3/2,4/2,5/1 q=1,2 t1=0 D=24 c=8
REC k=9 s=0,1,3 ab=3/2,5/2,6/1 q=1,2 t1=0 D=105 c=8
REC k=9 s=0,1,3 ab=3/2,6/2,7/1 q=1,2 t1=0 D=348 c=8
REC k=9 s=0,1,3 ab=3/2,7/2,8/1 q=1,2 t1=0 D=1077 c=8
REC k=9 s=0,1,3 ab=3/2,8/2,9/1 q=1,2 t1=0 D=3264 c=8
REC k=9 s=0,1,3 ab=3/2,9/2,10/1 q=1,2 t1=0 D=9825 c=8
REC k=9 s=0,1,4 ab=2/1,4/2,6/5 q=1,3 t1=0 D=30 c=2
REC k=9 s=0,1,4 ab=2/1,5/1,6/3 q=1,1 t1=0 D=114 c=2
REC k=9 s=0,1,4 ab=3/2,6/5,7/4 q=1,3 t1=0 D=231 c=8
REC k=9 s=0,1,4 ab=4/2,5/3,6/1 q=1,2 t1=0 D=69 c=35
REC k=9 s=0,1,4 ab=4/2,5/4,6/4 q=1,3 t1=0 D=42 c=35
REC k=9 s=0,1,4 ab=4/2,6/3,7/1 q=1,2 t1=0 D=312 c=35
REC k=9 s=0,1,4 ab=4/2,6/5,7/5 q=1,3 t1=0 D=204 c=35
REC k=9 s=0,1,4 ab=4/2,7/3,8/1 q=1,2 t1=0 D=1041 c=35
REC k=9 s=0,1,4 ab=4/2,7/6,8/6 q=1,3 t1=0 D=690 c=35
REC k=9 s=0,1,4 ab=4/2,8/3,9/1 q=1,2 t1=0 D=3228 c=35
REC k=9 s=0,1,4 ab=4/2,8/7,9/7 q=1,3 t1=0 D=2148 c=35
REC k=9 s=0,1,4 ab=4/2,9/3,10/1 q=1,2 t1=0 D=9789 c=35
REC k=9 s=0,1,4 ab=4/2,9/8,10/8 q=1,3 t1=0 D=6522 c=35
REC k=9 s=0,1,4 ab=4/3,5/4,6/3 q=1,3 t1=0 D=51 c=26
REC k=9 s=0,1,4 ab=5/2,6/4,7/4 q=1,3 t1=0 D=204 c=116
REC k=9 s=0,1,4 ab=5/2,6/5,7/6 q=1,3 t1=0 D=123 c=116
REC k=9 s=0,1,4 ab=5/3,6/4,7/3 q=1,3 t1=0 D=213 c=107
REC k=9 s=0,1,4 ab=6/2,7/4,8/4 q=1,3 t1=0 D=690 c=359
REC k=9 s=0,1,4 ab=6/2,7/5,8/6 q=1,3 t1=0 D=609 c=359
REC k=9 s=0,1,4 ab=6/3,7/4,8/3 q=1,3 t1=0 D=699 c=350
REC k=9 s=0,1,4 ab=6/5,7/5,8/3 q=1,3 t1=0 D=726 c=242
REC k=9 s=0,1,4 ab=7/2,8/4,9/4 q=1,3 t1=0 D=2148 c=1088
REC k=9 s=0,1,4 ab=7/2,8/5,9/6 q=1,3 t1=0 D=2067 c=1088
REC k=9 s=0,1,4 ab=7/3,8/4,9/3 q=1,3 t1=0 D=2157 c=1079
REC k=9 s=0,1,4 ab=7/5,8/5,9/3 q=1,3 t1=0 D=2184 c=971
REC k=9 s=0,1,4 ab=8/2,9/4,10/4 q=1,3 t1=0 D=6522 c=3275
REC k=9 s=0,1,4 ab=8/2,9/5,10/6 q=1,3 t1=0 D=6441 c=3275
REC k=9 s=0,1,4 ab=8/3,9/4,10/3 q=1,3 t1=0 D=6531 c=3266
REC k=9 s=0,1,4 ab=8/5,9/5,10/3 q=1,3 t1=0 D=6558 c=3158
REC k=9 s=0,1,5 ab=2/1,6/1,7/3 q=1,1 t1=0 D=357 c=2
REC k=9 s=0,1,5 ab=3/2,7/6,8/4 q=1,3 t1=0 D=717 c=8
REC k=9 s=0,1,5 ab=4/2,7/6,8/5 q=1,3 t1=0 D=690 c=35
REC k=9 s=0,1,5 ab=5/2,6/4,7/1 q=1,2 t1=0 D=204 c=116
REC k=9 s=0,1,5 ab=5/2,6/5,7/5 q=1,3 t1=0 D=123 c=116
REC k=9 s=0,1,5 ab=5/2,7/4,8/1 q=1,2 t1=0 D=933 c=116
REC k=9 s=0,1,5 ab=5/2,7/6,8/6 q=1,3 t1=0 D=609 c=116
REC k=9 s=0,1,5 ab=5/2,8/4,9/1 q=1,2 t1=0 D=3120 c=116
REC k=9 s=0,1,5 ab=5/2,8/7,9/7 q=1,3 t1=0 D=2067 c=116
REC k=9 s=0,1,5 ab=5/2,9/4,10/1 q=1,2 t1=0 D=9681 c=116
REC k=9 s=0,1,5 ab=5/2,9/8,10/8 q=1,3 t1=0 D=6441 c=116
REC k=9 s=0,1,5 ab=5/4,6/5,7/3 q=1,3 t1=0 D=159 c=80
REC k=9 s=0,1,5 ab=6/2,7/5,8/5 q=1,3 t1=0 D=609 c=359
REC k=9 s=0,1,5 ab=6/2,7/6,8/7 q=1,3 t1=0 D=366 c=359
REC k=9 s=0,1,5 ab=6/4,7/5,8/3 q=1,3 t1=0 D=645 c=323
REC k=9 s=0,1,5 ab=7/2,8/5,9/5 q=1,3 t1=0 D=2067 c=1088
REC k=9 s=0,1,5 ab=7/2,8/6,9/7 q=1,3 t1=0 D=1824 c=1088
REC k=9 s=0,1,5 ab=7/4,8/5,9/3 q=1,3 t1=0 D=2103 c=1052
REC k=9 s=0,1,5 ab=7/6,8/6,9/3 q=1,3 t1=0 D=2184 c=728
REC k=9 s=0,1,5 ab=8/2,9/5,10/5 q=1,3 t1=0 D=6441 c=3275
REC k=9 s=0,1,5 ab=8/2,9/6,10/7 q=1,3 t1=0 D=6198 c=3275
REC k=9 s=0,1,5 ab=8/4,9/5,10/3 q=1,3 t1=0 D=6477 c=3239
REC k=9 s=0,1,5 ab=8/6,9/6,10/3 q=1,3 t1=0 D=6558 c=2915
REC k=9 s=0,1,6 ab=2/1,7/1,8/3 q=1,1 t1=0 D=1086 c=2
REC k=9 s=0,1,6 ab=3/2,8/7,9/4 q=1,3 t1=0 D=2175 c=8
REC k=9 s=0,1,6 ab=4/2,8/7,9/5 q=1,3 t1=0 D=2148 c=35
REC k=9 s=0,1,6 ab=5/2,8/7,9/6 q=1,3 t1=0 D=2067 c=116
REC k=9 s=0,1,6 ab=6/2,7/5,8/1 q=1,2 t1=0 D=609 c=359
REC k=9 s=0,1,6 ab=6/2,7/6,8/6 q=1,3 t1=0 D=366 c=359
REC k=9 s=0,1,6 ab=6/2,8/5,9/1 q=1,2 t1=0 D=2796 c=359
REC k=9 s=0,1,6 ab=6/2,8/7,9/7 q=1,3 t1=0 D=1824 c=359
REC k=9 s=0,1,6 ab=6/2,9/5,10/1 q=1,2 t1=0 D=9357 c=359
REC k=9 s=0,1,6 ab=6/2,9/8,10/8 q=1,3 t1=0 D=6198 c=359
REC k=9 s=0,1,6 ab=6/5,7/6,8/3 q=1,3 t1=0 D=483 c=242
REC k=9 s=0,1,6 ab=7/2,8/6,9/6 q=1,3 t1=0 D=1824 c=1088
REC k=9 s=0,1,6 ab=7/2,8/7,9/8 q=1,3 t1=0 D=1095 c=1088
REC k=9 s=0,1,6 ab=7/5,8/6,9/3 q=1,3 t1=0 D=1941 c=971
REC k=9 s=0,1,6 ab=8/2,9/6,10/6 q=1,3 t1=0 D=6198 c=3275
REC k=9 s=0,1,6 ab=8/2,9/7,10/8 q=1,3 t1=0 D=5469 c=3275
REC k=9 s=0,1,6 ab=8/5,9/6,10/3 q=1,3 t1=0 D=6315 c=3158
REC k=9 s=0,1,6 ab=8/7,9/7,10/3 q=1,3 t1=0 D=6558 c=2186
REC k=9 s=0,1,7 ab=2/1,8/1,9/3 q=1,1 t1=0 D=3273 c=2
REC k=9 s=0,1,7 ab=3/2,9/8,10/4 q=1,3 t1=0 D=6549 c=8
REC k=9 s=0,1,7 ab=4/1,7/5,9/3 q=1,6 t1=0 D=930 c=38
REC k=9 s=0,1,7 ab=4/2,9/8,10/5 q=1,3 t1=0 D=6522 c=35
REC k=9 s=0,1,7 ab=5/2,9/8,10/6 q=1,3 t1=0 D=6441 c=116
REC k=9 s=0,1,7 ab=6/2,9/8,10/7 q=1,3 t1=0 D=6198 c=359
REC k=9 s=0,1,7 ab=7/2,8/6,9/1 q=1,2 t1=0 D=1824 c=1088
REC k=9 s=0,1,7 ab=7/2,8/7,9/7 q=1,3 t1=0 D=1095 c=1088
REC k=9 s=0,1,7 ab=7/2,9/6,10/1 q=1,2 t1=0 D=8385 c=1088
