REC k=6 s=0,1,2 ab=2/1,3/1,4/3 q=1,1 t1=0 D=6 c=2
REC k=6 s=0,1,2 ab=2/1,4/1,5/4 q=1,1 t1=0 D=33 c=2
REC k=6 s=0,1,2 ab=2/1,5/1,6/5 q=1,1 t1=0 D=114 c=2
REC k=6 s=0,1,2 ab=2/1,6/1,7/6 q=1,1 t1=0 D=357 c=2
REC k=6 s=0,1,3 ab=2/1,4/1,5/3 q=1,1 t1=0 D=33 c=2
REC k=6 s=0,1,3 ab=3/0,4/1,5/0 q=1,2 t1=0 D=23 c=12
REC k=6 s=0,1,3 ab=3/0,5/1,6/0 q=1,2 t1=0 D=104 c=12
REC k=6 s=0,1,3 ab=3/0,6/1,7/0 q=1,2 t1=0 D=347 c=12
REC k=6 s=0,1,3 ab=3/2,4/2,5/1 q=1,2 t1=0 D=24 c=8
REC k=6 s=0,1,3 ab=3/2,5/2,6/1 q=1,2 t1=0 D=105 c=8
REC k=6 s=0,1,3 ab=3/2,6/2,7/1 q=1,2 t1=0 D=348 c=8
REC k=6 s=0,1,4 ab=2/1,4/2,6/5 q=1,3 t1=0 D=30 c=2
REC k=6 s=0,1,4 ab=2/1,5/1,6/3 q=1,1 t1=0 D=114 c=2
REC k=6 s=0,1,4 ab=3/2,6/5,7/4 q=1,3 t1=0 D=231 c=8
REC k=6 s=0,1,4 ab=4/2,5/3,6/1 q=1,2 t1=0 D=69 c=35
REC k=6 s=0,1,4 ab=4/2,5/4,6/4 q=1,3 t1=0 D=42 c=35
REC k=6 s=0,1,4 ab=4/2,6/3,7/1 q=1,2 t1=0 D=312 c=35
REC k=6 s=0,1,4 ab=4/2,6/5,7/5 q=1,3 t1=0 D=204 c=35
REC k=6 s=0,1,4 ab=4/3,5/4,6/3 q=1,3 t1=0 D=51 c=26
REC k=6 s=0,1,4 ab=5/2,6/4,7/4 q=1,3 t1=0 D=204 c=116
REC k=6 s=0,1,4 ab=5/2,6/5,7/6 q=1,3 t1=0 D=123 c=116
REC k=6 s=0,1,4 ab=5/3,6/4,7/3 q=1,3 t1=0 D=213 c=107
REC k=6 s=0,1,5 ab=2/1,6/1,7/3 q=1,1 t1=0 D=357 c=2
REC k=6 s=0,1,5 ab=5/2,6/4,7/1 q=1,2 t1=0 D=204 c=116
REC k=6 s=0,1,5 ab=5/2,6/5,7/5 q=1,3 t1=0 D=123 c=116
REC k=6 s=0,1,5 ab=5/4,6/5,7/3 q=1,3 t1=0 D=159 c=80
REC k=6 s=0,2,3 ab=3/1,4/1,5/4 q=1,1 t1=0 D=15 c=11
REC k=6 s=0,2,3 ab=3/1,5/1,6/5 q=1,1 t1=0 D=96 c=11
REC k=6 s=0,2,3 ab=3/1,6/1,7/6 q=1,1 t1=0 D=339 c=11
REC k=6 s=0,2,4 ab=3/1,5/1,6/4 q=1,1 t1=0 D=96 c=11
REC k=6 s=0,2,4 ab=3/1,5/1,6/4 q=2,2 t1=0 D=48 c=11
REC k=6 s=0,2,4 ab=4/0,5/1,6/0 q=1,2 t1=0 D=68 c=39
REC k=6 s=0,2,4 ab=4/0,6/1,7/0 q=1,2 t1=0 D=311 c=39
REC k=6 s=0,2,4 ab=4/2,5/2,6/1 q=1,2 t1=0 D=69 c=35
REC k=6 s=0,2,4 ab=4/2,6/2,7/1 q=1,2 t1=0 D=312 c=35
REC k=6 s=0,2,5 ab=3/1,6/1,7/4 q=1,1 t1=0 D=339 c=11
REC k=6 s=0,2,5 ab=4/2,6/4,7/2 q=2,3 t1=0 D=138 c=35
REC k=6 s=0,2,5 ab=5/4,6/3,7/2 q=2,3 t1=0 D=129 c=80
REC k=6 s=0,3,4 ab=4/1,5/1,6/5 q=1,1 t1=0 D=42 c=38
REC k=6 s=0,3,4 ab=4/1,6/1,7/6 q=1,1 t1=0 D=285 c=38
REC k=6 s=0,3,5 ab=4/1,6/1,7/5 q=1,1 t1=0 D=285 c=38
REC k=6 s=0,3,5 ab=5/0,6/1,7/0 q=1,2 t1=0 D=203 c=120
REC k=6 s=0,3,5 ab=5/2,6/2,7/1 q=1,2 t1=0 D=204 c=116
REC k=6 s=0,4,5 ab=5/1,6/1,7/6 q=1,1 t1=0 D=123 c=119
REC k=6 s=1,2,3 ab=3/2,4/2,5/4 q=1,1 t1=0 D=18 c=5
REC k=6 s=1,2,3 ab=3/2,5/2,6/5 q=1,1 t1=0 D=99 c=5
REC k=6 s=1,2,3 ab=3/2,6/2,7/6 q=1,1 t1=0 D=342 c=5
REC k=6 s=1,2,4 ab=3/2,5/2,6/4 q=1,1 t1=0 D=99 c=5
REC k=6 s=1,2,4 ab=4/1,5/2,6/1 q=1,2 t1=0 D=69 c=35
REC k=6 s=1,2,4 ab=4/1,6/2,7/1 q=1,2 t1=0 D=312 c=35
REC k=6 s=1,2,4 ab=4/3,5/3,6/2 q=1,2 t1=0 D=72 c=23
REC k=6 s=1,2,4 ab=4/3,6/3,7/2 q=1,2 t1=0 D=315 c=23
REC k=6 s=1,2,5 ab=2/1,3/2,6/3 q=1,3 t1=0 D=-3 c=-1
REC k=6 s=1,2,5 ab=3/2,5/3,7/6 q=1,3 t1=0 D=90 c=5
REC k=6 s=1,2,5 ab=3/2,6/2,7/4 q=1,1 t1=0 D=342 c=5
REC k=6 s=1,2,5 ab=5/3,6/4,7/2 q=1,2 t1=0 D=207 c=104
REC k=6 s=1,2,5 ab=5/3,6/5,7/5 q=1,3 t1=0 D=126 c=104
REC k=6 s=1,2,5 ab=5/4,6/5,7/4 q=1,3 t1=0 D=153 c=77
REC k=6 s=1,3,4 ab=2/1,5/0,6/5 q=2,1 t1=0 D=41 c=-1
REC k=6 s=1,3,4 ab=3/2,4/1,5/2 q=2,1 t1=0 D=-3 c=5
REC k=6 s=1,3,4 ab=4/2,5/2,6/5 q=1,1 t1=0 D=45 c=32
REC k=6 s=1,3,4 ab=4/2,6/2,7/6 q=1,1 t1=0 D=288 c=32
REC k=6 s=1,3,5 ab=3/2,4/1,6/2 q=2,1 t1=0 D=-3 c=5
REC k=6 s=1,3,5 ab=4/2,6/2,7/5 q=1,1 t1=0 D=288 c=32
REC k=6 s=1,3,5 ab=4/2,6/2,7/5 q=2,2 t1=0 D=144 c=32
REC k=6 s=1,3,5 ab=5/1,6/2,7/1 q=1,2 t1=0 D=204 c=116
REC k=6 s=1,3,5 ab=5/3,6/3,7/2 q=1,2 t1=0 D=207 c=104
REC k=6 s=1,4,5 ab=2/1,6/0,7/6 q=2,1 t1=0 D=122 c=-1
REC k=6 s=1,4,5 ab=3/2,5/1,6/2 q=2,1 t1=0 D=-3 c=5
REC k=6 s=1,4,5 ab=5/2,6/2,7/6 q=1,1 t1=0 D=126 c=113
REC k=6 s=2,3,4 ab=4/3,5/3,6/5 q=1,1 t1=0 D=54 c=14
REC k=6 s=2,3,4 ab=4/3,6/3,7/6 q=1,1 t1=0 D=297 c=14
REC k=6 s=2,3,5 ab=4/3,6/3,7/5 q=1,1 t1=0 D=297 c=14
REC k=6 s=2,3,5 ab=5/2,6/3,7/2 q=1,2 t1=0 D=207 c=104
REC k=6 s=2,3,5 ab=5/4,6/4,7/3 q=1,2 t1=0 D=216 c=68
REC k=6 s=2,4,5 ab=3/1,6/0,7/6 q=2,1 t1=0 D=122 c=-1
REC k=6 s=2,4,5 ab=3/2,6/1,7/6 q=2,1 t1=0 D=123 c=-4
REC k=6 s=2,4,5 ab=4/3,5/2,6/3 q=2,1 t1=0 D=-9 c=14
REC k=6 s=2,4,5 ab=5/3,6/3,7/6 q=1,1 t1=0 D=135 c=95
REC k=6 s=3,4,5 ab=5/4,6/4,7/6 q=1,1 t1=0 D=162 c=41
