REC k=8 s=0,1,2 ab=2/1,3/1,4/3 q=1,1 t1=0 D=6 c=2
REC k=8 s=0,1,2 ab=2/1,4/1,5/4 q=1,1 t1=0 D=33 c=2
REC k=8 s=0,1,2 ab=2/1,5/1,6/5 q=1,1 t1=0 D=114 c=2
REC k=8 s=0,1,2 ab=2/1,6/1,7/6 q=1,1 t1=0 D=357 c=2
REC k=8 s=0,1,2 ab=2/1,7/1,8/7 q=1,1 t1=0 D=1086 c=2
REC k=8 s=0,1,2 ab=2/1,8/1,9/8 q=1,1 t1=0 D=3273 c=2
REC k=8 s=0,1,3 ab=2/1,4/1,5/3 q=1,1 t1=0 D=33 c=2
REC k=8 s=0,1,3 ab=3/0,4/1,5/0 q=1,2 t1=0 D=23 c=12
REC k=8 s=0,1,3 ab=3/0,5/1,6/0 q=1,2 t1=0 D=104 c=12
REC k=8 s=0,1,3 ab=3/0,6/1,7/0 q=1,2 t1=0 D=347 c=12
REC k=8 s=0,1,3 ab=3/0,7/1,8/0 q=1,2 t1=0 D=1076 c=12
REC k=8 s=0,1,3 ab=3/0,8/1,9/0 q=1,2 t1=0 D=3263 c=12
REC k=8 s=0,1,3 ab=3/2,4/2,5/1 q=1,2 t1=0 D=24 c=8
REC k=8 s=0,1,3 ab=3/2,5/2,6/1 q=1,2 t1=0 D=105 c=8
REC k=8 s=0,1,3 ab=3/2,6/2,7/1 q=1,2 t1=0 D=348 c=8
REC k=8 s=0,1,3 ab=3/2,7/2,8/1 q=1,2 t1=0 D=1077 c=8
REC k=8 s=0,1,3 ab=3/2,8/2,9/1 q=1,2 t1=0 D=3264 c=8
REC k=8 s=0,1,4 ab=2/1,4/2,6/5 q=1,3 t1=0 D=30 c=2
REC k=8 s=0,1,4 ab=2/1,5/1,6/3 q=1,1 t1=0 D=114 c=2
REC k=8 s=0,1,4 ab=3/2,6/5,7/4 q=1,3 t1=0 D=231 c=8
REC k=8 s=0,1,4 ab=4/2,5/3,6/1 q=1,2 t1=0 D=69 c=35
REC k=8 s=0,1,4 ab=4/2,5/4,6/4 q=1,3 t1=0 D=42 c=35
REC k=8 s=0,1,4 ab=4/2,6/3,7/1 q=1,2 t1=0 D=312 c=35
REC k=8 s=0,1,4 ab=4/2,6/5,7/5 q=1,3 t1=0 D=204 c=35
REC k=8 s=0,1,4 ab=4/2,7/3,8/1 q=1,2 t1=0 D=1041 c=35
REC k=8 s=0,1,4 ab=4/2,7/6,8/6 q=1,3 t1=0 D=690 c=35
REC k=8 s=0,1,4 ab=4/2,8/3,9/1 q=1,2 t1=0 D=3228 c=35
REC k=8 s=0,1,4 ab=4/2,8/7,9/7 q=1,3 t1=0 D=2148 c=35
REC k=8 s=0,1,4 ab=4/3,5/4,6/3 q=1,3 t1=0 D=51 c=26
REC k=8 s=0,1,4 ab=5/2,6/4,7/4 q=1,3 t1=0 D=204 c=116
REC k=8 s=0,1,4 ab=5/2,6/5,7/6 q=1,3 t1=0 D=123 c=116
REC k=8 s=0,1,4 ab=5/3,6/4,7/3 q=1,3 t1=0 D=213 c=107
REC k=8 s=0,1,4 ab=6/2,7/4,8/4 q=1,3 t1=0 D=690 c=359
REC k=8 s=0,1,4 ab=6/2,7/5,8/6 q=1,3 t1=0 D=609 c=359
REC k=8 s=0,1,4 ab=6/3,7/4,8/3 q=1,3 t1=0 D=699 c=350
REC k=8 s=0,1,4 ab=6/5,7/5,8/3 q=1,3 t1=0 D=726 c=242
REC k=8 s=0,1,4 ab=7/2,8/4,9/4 q=1,3 t1=0 D=2148 c=1088
REC k=8 s=0,1,4 ab=7/2,8/5,9/6 q=1,3 t1=0 D=2067 c=1088
REC k=8 s=0,1,4 ab=7/3,8/4,9/3 q=1,3 t1=0 D=2157 c=1079
REC k=8 s=0,1,4 ab=7/5,8/5,9/3 q=1,3 t1=0 D=2184 c=971
REC k=8 s=0,1,5 ab=2/1,6/1,7/3 q=1,1 t1=0 D=357 c=2
REC k=8 s=0,1,5 ab=3/2,7/6,8/4 q=1,3 t1=0 D=717 c=8
REC k=8 s=0,1,5 ab=4/2,7/6,8/5 q=1,3 t1=0 D=690 c=35
REC k=8 s=0,1,5 ab=5/2,6/4,7/1 q=1,2 t1=0 D=204 c=116
REC k=8 s=0,1,5 ab=5/2,6/5,7/5 q=1,3 t1=0 D=123 c=116
REC k=8 s=0,1,5 ab=5/2,7/4,8/1 q=1,2 t1=0 D=933 c=116
REC k=8 s=0,1,5 ab=5/2,7/6,8/6 q=1,3 t1=0 D=609 c=116
REC k=8 s=0,1,5 ab=5/2,8/4,9/1 q=1,2 t1=0 D=3120 c=116
REC k=8 s=0,1,5 ab=5/2,8/7,9/7 q=1,3 t1=0 D=2067 c=116
REC k=8 s=0,1,5 ab=5/4,6/5,7/3 q=1,3 t1=0 D=159 c=80
REC k=8 s=0,1,5 ab=6/2,7/5,8/5 q=1,3 t1=0 D=609 c=359
REC k=8 s=0,1,5 ab=6/2,7/6,8/7 q=1,3 t1=0 D=366 c=359
REC k=8 s=0,1,5 ab=6/4,7/5,8/3 q=1,3 t1=0 D=645 c=323
REC k=8 s=0,1,5 ab=7/2,8/5,9/5 q=1,3 t1=0 D=2067 c=1088
REC k=8 s=0,1,5 ab=7/2,8/6,9/7 q=1,3 t1=0 D=1824 c=1088
REC k=8 s=0,1,5 ab=7/4,8/5,9/3 q=1,3 t1=0 D=2103 c=1052
REC k=8 s=0,1,5 ab=7/6,8/6,9/3 q=1,3 t1=0 D=2184 c=728
REC k=8 s=0,1,6 ab=2/1,7/1,8/3 q=1,1 t1=0 D=1086 c=2
REC k=8 s=0,1,6 ab=3/2,8/7,9/4 q=1,3 t1=0 D=2175 c=8
REC k=8 s=0,1,6 ab=4/2,8/7,9/5 q=1,3 t1=0 D=2148 c=35
REC k=8 s=0,1,6 ab=5/2,8/7,9/6 q=1,3 t1=0 D=2067 c=116
REC k=8 s=0,1,6 ab=6/2,7/5,8/1 q=1,2 t1=0 D=609 c=359
REC k=8 s=0,1,6 ab=6/2,7/6,8/6 q=1,3 t1=0 D=366 c=359
REC k=8 s=0,1,6 ab=6/2,8/5,9/1 q=1,2 t1=0 D=2796 c=359
REC k=8 s=0,1,6 ab=6/2,8/7,9/7 q=1,3 t1=0 D=1824 c=359
REC k=8 s=0,1,6 ab=6/5,7/6,8/3 q=1,3 t1=0 D=483 c=242
REC k=8 s=0,1,6 ab=7/2,8/6,9/6 q=1,3 t1=0 D=1824 c=1088
REC k=8 s=0,1,6 ab=7/2,8/7,9/8 q=1,3 t1=0 D=1095 c=1088
REC k=8 s=0,1,6 ab=7/5,8/6,9/3 q=1,3 t1=0 D=1941 c=971
REC k=8 s=0,1,7 ab=2/1,8/1,9/3 q=1,1 t1=0 D=3273 c=2
REC k=8 s=0,1,7 ab=4/1,7/5,9/3 q=1,6 t1=0 D=930 c=38
REC k=8 s=0,1,7 ab=7/2,8/6,9/1 q=1,2 t1=0 D=1824 c=1088
REC k=8 s=0,1,7 ab=7/2,8/7,9/7 q=1,3 t1=0 D=1095 c=1088
REC k=8 s=0,1,7 ab=7/6,8/7,9/3 q=1,3 t1=0 D=1455 c=728
REC k=8 s=0,2,3 ab=3/1,4/1,5/4 q=1,1 t1=0 D=15 c=11
REC k=8 s=0,2,3 ab=3/1,5/1,6/5 q=1,1 t1=0 D=96 c=11
REC k=8 s=0,2,3 ab=3/1,6/1,7/6 q=1,1 t1=0 D=339 c=11
REC k=8 s=0,2,3 ab=3/1,7/1,8/7 q=1,1 t1=0 D=1068 c=11
REC k=8 s=0,2,3 ab=3/1,8/1,9/8 q=1,1 t1=0 D=3255 c=11
REC k=8 s=0,2,4 ab=3/1,5/1,6/4 q=1,1 t1=0 D=96 c=11
REC k=8 s=0,2,4 ab=3/1,5/1,6/4 q=2,2 t1=0 D=48 c=11
REC k=8 s=0,2,4 ab=4/0,5/1,6/0 q=1,2 t1=0 D=68 c=39
REC k=8 s=0,2,4 ab=4/0,6/1,7/0 q=1,2 t1=0 D=311 c=39
REC k=8 s=0,2,4 ab=4/0,7/1,8/0 q=1,2 t1=0 D=1040 c=39
REC k=8 s=0,2,4 ab=4/0,8/1,9/0 q=1,2 t1=0 D=3227 c=39
REC k=8 s=0,2,4 ab=4/2,5/2,6/1 q=1,2 t1=0 D=69 c=35
REC k=8 s=0,2,4 ab=4/2,6/2,7/1 q=1,2 t1=0 D=312 c=35
REC k=8 s=0,2,4 ab=4/2,7/2,8/1 q=1,2 t1=0 D=1041 c=35
REC k=8 s=0,2,4 ab=4/2,8/2,9/1 q=1,2 t1=0 D=3228 c=35
REC k=8 s=0,2,5 ab=3/1,6/1,7/4 q=1,1 t1=0 D=339 c=11
REC k=8 s=0,2,5 ab=4/2,6/4,7/2 q=2,3 t1=0 D=138 c=35
REC k=8 s=0,2,5 ab=5/4,6/3,7/2 q=2,3 t1=0 D=129 c=80
REC k=8 s=0,2,6 ab=3/1,7/1,8/4 q=1,1 t1=0 D=1068 c=11
REC k=8 s=0,2,6 ab=3/1,7/1,8/4 q=2,2 t1=0 D=534 c=11
REC k=8 s=0,2,6 ab=6/4,7/3,8/2 q=2,3 t1=0 D=372 c=323
REC k=8 s=0,2,7 ab=3/1,8/1,9/4 q=1,1 t1=0 D=3255 c=11
REC k=8 s=0,2,7 ab=3/2,7/0,9/5 q=1,5 t1=0 D=1072 c=8
REC k=8 s=0,2,7 ab=7/4,8/3,9/2 q=2,3 t1=0 D=1101 c=1052
REC k=8 s=0,3,4 ab=4/1,5/1,6/5 q=1,1 t1=0 D=42 c=38
REC k=8 s=0,3,4 ab=4/1,6/1,7/6 q=1,1 t1=0 D=285 c=38
REC k=8 s=0,3,4 ab=4/1,7/1,8/7 q=1,1 t1=0 D=1014 c=38
REC k=8 s=0,3,4 ab=4/1,8/1,9/8 q=1,1 t1=0 D=3201 c=38
REC k=8 s=0,3,5 ab=4/1,6/1,7/5 q=1,1 t1=0 D=285 c=38
REC k=8 s=0,3,5 ab=5/0,6/1,7/0 q=1,2 t1=0 D=203 c=120
REC k=8 s=0,3,5 ab=5/0,7/1,8/0 q=1,2 t1=0 D=932 c=120
REC k=8 s=0,3,5 ab=5/0,8/1,9/0 q=1,2 t1=0 D=3119 c=120
REC k=8 s=0,3,5 ab=5/2,6/2,7/1 q=1,2 t1=0 D=204 c=116
REC k=8 s=0,3,5 ab=5/2,7/2,8/1 q=1,2 t1=0 D=933 c=116
REC k=8 s=0,3,5 ab=5/2,8/2,9/1 q=1,2 t1=0 D=3120 c=116
REC k=8 s=0,3,6 ab=2/1,4/1,7/2 q=3,3 t1=0 D=-1 c=2
REC k=8 s=0,3,6 ab=4/1,7/1,8/5 q=1,1 t1=0 D=1014 c=38
REC k=8 s=0,3,6 ab=4/1,7/1,8/5 q=2,2 t1=0 D=507 c=38
REC k=8 s=0,3,6 ab=4/1,7/1,8/5 q=3,3 t1=0 D=338 c=38
REC k=8 s=0,3,7 ab=2/1,4/1,8/2 q=3,3 t1=0 D=-1 c=2
REC k=8 s=0,3,7 ab=4/1,8/1,9/5 q=1,1 t1=0 D=3201 c=38
REC k=8 s=0,3,7 ab=4/1,8/1,9/5 q=3,3 t1=0 D=1067 c=38
REC k=8 s=0,4,5 ab=5/1,6/1,7/6 q=1,1 t1=0 D=123 c=119
REC k=8 s=0,4,5 ab=5/1,7/1,8/7 q=1,1 t1=0 D=852 c=119
REC k=8 s=0,4,5 ab=5/1,8/1,9/8 q=1,1 t1=0 D=3039 c=119
REC k=8 s=0,4,6 ab=5/1,7/1,8/6 q=1,1 t1=0 D=852 c=119
REC k=8 s=0,4,6 ab=5/1,7/1,8/6 q=2,2 t1=0 D=426 c=119
REC k=8 s=0,4,6 ab=6/0,7/1,8/0 q=1,2 t1=0 D=608 c=363
REC k=8 s=0,4,6 ab=6/0,8/1,9/0 q=1,2 t1=0 D=2795 c=363
REC k=8 s=0,4,6 ab=6/2,7/2,8/1 q=1,2 t1=0 D=609 c=359
REC k=8 s=0,4,6 ab=6/2,8/2,9/1 q=1,2 t1=0 D=2796 c=359
REC k=8 s=0,4,7 ab=2/1,5/1,8/2 q=3,3 t1=0 D=-1 c=2
REC k=8 s=0,4,7 ab=5/1,8/1,9/6 q=1,1 t1=0 D=3039 c=119
REC k=8 s=0,4,7 ab=5/1,8/1,9/6 q=3,3 t1=0 D=1013 c=119
REC k=8 s=0,5,6 ab=2/0,8/7,8/0 q=5,1 t1=0 D=364 c=3
REC k=8 s=0,5,6 ab=3/2,8/7,8/1 q=5,1 t1=0 D=363 c=8
REC k=8 s=0,5,6 ab=6/1,7/1,8/7 q=1,1 t1=0 D=366 c=362
REC k=8 s=0,5,6 ab=6/1,8/1,9/8 q=1,1 t1=0 D=2553 c=362
REC k=8 s=0,5,7 ab=6/1,8/1,9/7 q=1,1 t1=0 D=2553 c=362
REC k=8 s=0,5,7 ab=7/0,8/1,9/0 q=1,2 t1=0 D=1823 c=1092
REC k=8 s=0,5,7 ab=7/2,8/2,9/1 q=1,2 t1=0 D=1824 c=1088
REC k=8 s=0,6,7 ab=2/0,9/8,9/0 q=5,1 t1=0 D=1093 c=3
REC k=8 s=0,6,7 ab=3/2,9/8,9/1 q=5,1 t1=0 D=1092 c=8
REC k=8 s=0,6,7 ab=7/1,8/1,9/8 q=1,1 t1=0 D=1095 c=1091
REC k=8 s=1,2,3 ab=3/2,4/2,5/4 q=1,1 t1=0 D=18 c=5
REC k=8 s=1,2,3 ab=3/2,5/2,6/5 q=1,1 t1=0 D=99 c=5
REC k=8 s=1,2,3 ab=3/2,6/2,7/6 q=1,1 t1=0 D=342 c=5
REC k=8 s=1,2,3 ab=3/2,7/2,8/7 q=1,1 t1=0 D=1071 c=5
REC k=8 s=1,2,3 ab=3/2,8/2,9/8 q=1,1 t1=0 D=3258 c=5
REC k=8 s=1,2,4 ab=3/2,5/2,6/4 q=1,1 t1=0 D=99 c=5
REC k=8 s=1,2,4 ab=4/1,5/2,6/1 q=1,2 t1=0 D=69 c=35
REC k=8 s=1,2,4 ab=4/1,6/2,7/1 q=1,2 t1=0 D=312 c=35
REC k=8 s=1,2,4 ab=4/1,7/2,8/1 q=1,2 t1=0 D=1041 c=35
REC k=8 s=1,2,4 ab=4/1,8/2,9/1 q=1,2 t1=0 D=3228 c=35
REC k=8 s=1,2,4 ab=4/3,5/3,6/2 q=1,2 t1=0 D=72 c=23
REC k=8 s=1,2,4 ab=4/3,6/3,7/2 q=1,2 t1=0 D=315 c=23
REC k=8 s=1,2,4 ab=4/3,7/3,8/2 q=1,2 t1=0 D=1044 c=23
REC k=8 s=1,2,4 ab=4/3,8/3,9/2 q=1,2 t1=0 D=3231 c=23
REC k=8 s=1,2,5 ab=2/1,3/2,6/3 q=1,3 t1=0 D=-3 c=-1
REC k=8 s=1,2,5 ab=3/2,5/3,7/6 q=1,3 t1=0 D=90 c=5
REC k=8 s=1,2,5 ab=3/2,6/2,7/4 q=1,1 t1=0 D=342 c=5
REC k=8 s=1,2,5 ab=4/3,7/6,8/5 q=1,3 t1=0 D=693 c=23
REC k=8 s=1,2,5 ab=5/3,6/4,7/2 q=1,2 t1=0 D=207 c=104
REC k=8 s=1,2,5 ab=5/3,6/5,7/5 q=1,3 t1=0 D=126 c=104
REC k=8 s=1,2,5 ab=5/3,7/4,8/2 q=1,2 t1=0 D=936 c=104
REC k=8 s=1,2,5 ab=5/3,7/6,8/6 q=1,3 t1=0 D=612 c=104
REC k=8 s=1,2,5 ab=5/3,8/4,9/2 q=1,2 t1=0 D=3123 c=104
REC k=8 s=1,2,5 ab=5/3,8/7,9/7 q=1,3 t1=0 D=2070 c=104
REC k=8 s=1,2,5 ab=5/4,6/5,7/4 q=1,3 t1=0 D=153 c=77
REC k=8 s=1,2,5 ab=6/3,7/5,8/5 q=1,3 t1=0 D=612 c=347
REC k=8 s=1,2,5 ab=6/3,7/6,8/7 q=1,3 t1=0 D=369 c=347
REC k=8 s=1,2,5 ab=6/4,7/5,8/4 q=1,3 t1=0 D=639 c=320
REC k=8 s=1,2,5 ab=7/3,8/5,9/5 q=1,3 t1=0 D=2070 c=1076
REC k=8 s=1,2,5 ab=7/3,8/6,9/7 q=1,3 t1=0 D=1827 c=1076
REC k=8 s=1,2,5 ab=7/4,8/5,9/4 q=1,3 t1=0 D=2097 c=1049
REC k=8 s=1,2,5 ab=7/6,8/6,9/4 q=1,3 t1=0 D=2178 c=725
REC k=8 s=1,2,6 ab=2/1,3/2,7/3 q=1,3 t1=0 D=-3 c=-1
REC k=8 s=1,2,6 ab=3/2,7/2,8/4 q=1,1 t1=0 D=1071 c=5
REC k=8 s=1,2,6 ab=4/3,8/7,9/5 q=1,3 t1=0 D=2151 c=23
REC k=8 s=1,2,6 ab=5/3,8/7,9/6 q=1,3 t1=0 D=2070 c=104
REC k=8 s=1,2,6 ab=6/3,7/5,8/2 q=1,2 t1=0 D=612 c=347
REC k=8 s=1,2,6 ab=6/3,7/6,8/6 q=1,3 t1=0 D=369 c=347
REC k=8 s=1,2,6 ab=6/3,8/5,9/2 q=1,2 t1=0 D=2799 c=347
REC k=8 s=1,2,6 ab=6/3,8/7,9/7 q=1,3 t1=0 D=1827 c=347
REC k=8 s=1,2,6 ab=6/5,7/6,8/4 q=1,3 t1=0 D=477 c=239
REC k=8 s=1,2,6 ab=7/3,8/6,9/6 q=1,3 t1=0 D=1827 c=1076
REC k=8 s=1,2,6 ab=7/3,8/7,9/8 q=1,3 t1=0 D=1098 c=1076
REC k=8 s=1,2,6 ab=7/5,8/6,9/4 q=1,3 t1=0 D=1935 c=968
REC k=8 s=1,2,7 ab=2/1,3/2,8/3 q=1,3 t1=0 D=-3 c=-1
REC k=8 s=1,2,7 ab=3/1,7/0,9/5 q=1,5 t1=0 D=1072 c=8
REC k=8 s=1,2,7 ab=3/2,8/2,9/4 q=1,1 t1=0 D=3258 c=5
REC k=8 s=1,2,7 ab=7/3,8/6,9/2 q=1,2 t1=0 D=1827 c=1076
REC k=8 s=1,2,7 ab=7/3,8/7,9/7 q=1,3 t1=0 D=1098 c=1076
REC k=8 s=1,2,7 ab=7/6,8/7,9/4 q=1,3 t1=0 D=1449 c=725
REC k=8 s=1,3,4 ab=2/1,5/0,6/5 q=2,1 t1=0 D=41 c=-1
REC k=8 s=1,3,4 ab=3/2,4/1,5/2 q=2,1 t1=0 D=-3 c=5
REC k=8 s=1,3,4 ab=4/2,5/2,6/5 q=1,1 t1=0 D=45 c=32
REC k=8 s=1,3,4 ab=4/2,6/2,7/6 q=1,1 t1=0 D=288 c=32
REC k=8 s=1,3,4 ab=4/2,7/2,8/7 q=1,1 t1=0 D=1017 c=32
REC k=8 s=1,3,4 ab=4/2,8/2,9/8 q=1,1 t1=0 D=3204 c=32
REC k=8 s=1,3,5 ab=3/2,4/1,6/2 q=2,1 t1=0 D=-3 c=5
REC k=8 s=1,3,5 ab=4/2,6/2,7/5 q=1,1 t1=0 D=288 c=32
REC k=8 s=1,3,5 ab=4/2,6/2,7/5 q=2,2 t1=0 D=144 c=32
REC k=8 s=1,3,5 ab=5/1,6/2,7/1 q=1,2 t1=0 D=204 c=116
REC k=8 s=1,3,5 ab=5/1,7/2,8/1 q=1,2 t1=0 D=933 c=116
REC k=8 s=1,3,5 ab=5/1,8/2,9/1 q=1,2 t1=0 D=3120 c=116
REC k=8 s=1,3,5 ab=5/3,6/3,7/2 q=1,2 t1=0 D=207 c=104
REC k=8 s=1,3,5 ab=5/3,7/3,8/2 q=1,2 t1=0 D=936 c=104
REC k=8 s=1,3,5 ab=5/3,8/3,9/2 q=1,2 t1=0 D=3123 c=104
REC k=8 s=1,3,6 ab=2/1,4/2,7/3 q=1,3 t1=0 D=-3 c=-1
REC k=8 s=1,3,6 ab=3/2,4/1,7/2 q=2,1 t1=0 D=-3 c=5
REC k=8 s=1,3,6 ab=4/2,7/2,8/5 q=1,1 t1=0 D=1017 c=32
REC k=8 s=1,3,6 ab=5/3,7/5,8/3 q=2,3 t1=0 D=414 c=104
REC k=8 s=1,3,6 ab=6/2,7/3,8/5 q=2,3 t1=1 D=342 c=14
REC k=8 s=1,3,6 ab=6/5,7/4,8/3 q=2,3 t1=0 D=387 c=239
REC k=8 s=1,3,7 ab=2/1,4/2,8/3 q=1,3 t1=0 D=-3 c=-1
REC k=8 s=1,3,7 ab=3/2,4/1,8/2 q=2,1 t1=0 D=-3 c=5
REC k=8 s=1,3,7 ab=3/2,4/1,8/3 q=2,4 t1=0 D=-3 c=5
REC k=8 s=1,3,7 ab=4/2,8/2,9/5 q=1,1 t1=0 D=3204 c=32
REC k=8 s=1,3,7 ab=4/2,8/2,9/5 q=2,2 t1=0 D=1602 c=32
REC k=8 s=1,3,7 ab=7/2,8/3,9/5 q=2,3 t1=1 D=1071 c=14
REC k=8 s=1,3,7 ab=7/5,8/4,9/3 q=2,3 t1=0 D=1116 c=968
REC k=8 s=1,4,5 ab=2/1,6/0,7/6 q=2,1 t1=0 D=122 c=-1
REC k=8 s=1,4,5 ab=3/2,5/1,6/2 q=2,1 t1=0 D=-3 c=5
REC k=8 s=1,4,5 ab=5/2,6/2,7/6 q=1,1 t1=0 D=126 c=113
REC k=8 s=1,4,5 ab=5/2,7/2,8/7 q=1,1 t1=0 D=855 c=113
REC k=8 s=1,4,5 ab=5/2,8/2,9/8 q=1,1 t1=0 D=3042 c=113
REC k=8 s=1,4,6 ab=3/2,5/1,7/2 q=2,1 t1=0 D=-3 c=5
REC k=8 s=1,4,6 ab=5/2,7/2,8/6 q=1,1 t1=0 D=855 c=113
REC k=8 s=1,4,6 ab=6/1,7/2,8/1 q=1,2 t1=0 D=609 c=359
REC k=8 s=1,4,6 ab=6/1,8/2,9/1 q=1,2 t1=0 D=2796 c=359
REC k=8 s=1,4,6 ab=6/3,7/3,8/2 q=1,2 t1=0 D=612 c=347
REC k=8 s=1,4,6 ab=6/3,8/3,9/2 q=1,2 t1=0 D=2799 c=347
REC k=8 s=1,4,7 ab=2/1,5/2,8/3 q=1,3 t1=0 D=-3 c=-1
REC k=8 s=1,4,7 ab=3/2,5/1,8/2 q=2,1 t1=0 D=-3 c=5
REC k=8 s=1,4,7 ab=3/2,5/2,8/3 q=3,3 t1=0 D=-3 c=5
REC k=8 s=1,4,7 ab=5/2,8/2,9/6 q=1,1 t1=0 D=3042 c=113
REC k=8 s=1,4,7 ab=5/2,8/2,9/6 q=2,2 t1=0 D=1521 c=113
REC k=8 s=1,4,7 ab=5/2,8/2,9/6 q=3,3 t1=0 D=1014 c=113
REC k=8 s=1,5,6 ab=2/1,7/0,8/7 q=2,1 t1=0 D=365 c=-1
REC k=8 s=1,5,6 ab=3/2,6/1,7/2 q=2,1 t1=0 D=-3 c=5
REC k=8 s=1,5,6 ab=6/2,7/2,8/7 q=1,1 t1=0 D=369 c=356
REC k=8 s=1,5,6 ab=6/2,8/2,9/8 q=1,1 t1=0 D=2556 c=356
REC k=8 s=1,5,7 ab=3/2,6/1,8/2 q=2,1 t1=0 D=-3 c=5
REC k=8 s=1,5,7 ab=6/2,8/2,9/7 q=1,1 t1=0 D=2556 c=356
REC k=8 s=1,5,7 ab=6/2,8/2,9/7 q=2,2 t1=0 D=1278 c=356
REC k=8 s=1,5,7 ab=7/1,8/2,9/1 q=1,2 t1=0 D=1824 c=1088
REC k=8 s=1,5,7 ab=7/3,8/3,9/2 q=1,2 t1=0 D=1827 c=1076
