# valid (M,A0) pairs with |M|,|A0| <= 6 (ntok=4 check): 1288
PAIR baaaa bbaabb len 5 6 ntok5 1 ntok6 1
PAIR baaaa baabbb len 5 6 ntok5 1 ntok6 1
PAIR abaaa bbaaa len 5 5 ntok5 1 ntok6 1
PAIR abaaa abbaa len 5 5 ntok5 1 ntok6 1
PAIR abaaa baabb len 5 5 ntok5 1 ntok6 1
PAIR abaaa bbaaaa len 5 6 ntok5 1 ntok6 1
PAIR abaaa abbaaa len 5 6 ntok5 1 ntok6 1
PAIR abaaa bbbaaa len 5 6 ntok5 1 ntok6 1
PAIR abaaa babbaa len 5 6 ntok5 1 ntok6 1
PAIR abaaa baabba len 5 6 ntok5 1 ntok6 1
PAIR abaaa bbaaab len 5 6 ntok5 1 ntok6 1
PAIR abaaa baabab len 5 6 ntok5 1 ntok6 1
PAIR abaaa abaabb len 5 6 ntok5 1 ntok6 1
PAIR abaaa bbaabb len 5 6 ntok5 1 ntok6 1
PAIR abaaa baabbb len 5 6 ntok5 1 ntok6 1
PAIR bbaaa baab len 5 4 ntok5 1 ntok6 1
PAIR bbaaa abaaa len 5 5 ntok5 1 ntok6 1
PAIR bbaaa babaa len 5 5 ntok5 1 ntok6 1
PAIR bbaaa baaba len 5 5 ntok5 1 ntok6 1
PAIR bbaaa bbaab len 5 5 ntok5 1 ntok6 1
PAIR bbaaa baabb len 5 5 ntok5 1 ntok6 1
PAIR bbaaa abaaaa len 5 6 ntok5 1 ntok6 1
PAIR bbaaa babaaa len 5 6 ntok5 1 ntok6 1
PAIR bbaaa bbabaa len 5 6 ntok5 1 ntok6 1
PAIR bbaaa bbaaba len 5 6 ntok5 1 ntok6 1
PAIR bbaaa abbaba len 5 6 ntok5 1 ntok6 1
PAIR bbaaa baabba len 5 6 ntok5 1 ntok6 1
PAIR bbaaa abaaab len 5 6 ntok5 1 ntok6 1
PAIR bbaaa babaab len 5 6 ntok5 1 ntok6 1
PAIR bbaaa bbbaab len 5 6 ntok5 1 ntok6 1
PAIR bbaaa baabab len 5 6 ntok5 1 ntok6 1
PAIR bbaaa abaabb len 5 6 ntok5 1 ntok6 1
PAIR bbaaa bbaabb len 5 6 ntok5 1 ntok6 1
PAIR bbaaa baabbb len 5 6 ntok5 1 ntok6 1
PAIR babaa bbaa len 5 4 ntok5 1 ntok6 1
PAIR babaa bbaaa len 5 5 ntok5 1 ntok6 1
PAIR babaa bbbaa len 5 5 ntok5 1 ntok6 1
PAIR babaa babba len 5 5 ntok5 1 ntok6 1
PAIR babaa bbaab len 5 5 ntok5 1 ntok6 1
PAIR babaa bbaaaa len 5 6 ntok5 1 ntok6 1
PAIR babaa bbbaaa len 5 6 ntok5 1 ntok6 1
PAIR babaa babbaa len 5 6 ntok5 1 ntok6 1
PAIR babaa bbbbaa len 5 6 ntok5 1 ntok6 1
PAIR babaa bbaaba len 5 6 ntok5 1 ntok6 1
PAIR babaa bbaaab len 5 6 ntok5 1 ntok6 1
PAIR babaa bbbaab len 5 6 ntok5 1 ntok6 1
PAIR babaa bbaabb len 5 6 ntok5 1 ntok6 1
PAIR abbaa baaaa len 5 5 ntok5 1 ntok6 1
PAIR abbaa abaaa len 5 5 ntok5 1 ntok6 1
PAIR abbaa baaaaa len 5 6 ntok5 1 ntok6 1
PAIR abbaa abaaaa len 5 6 ntok5 1 ntok6 1
PAIR abbaa babaaa len 5 6 ntok5 1 ntok6 1
PAIR abbaa bbbaaa len 5 6 ntok5 1 ntok6 1
PAIR abbaa baaaba len 5 6 ntok5 1 ntok6 1
PAIR abbaa abbaba len 5 6 ntok5 1 ntok6 1
PAIR bbbaa babaa len 5 5 ntok5 1 ntok6 1
PAIR bbbaa babba len 5 5 ntok5 1 ntok6 1
PAIR bbbaa babaaa len 5 6 ntok5 1 ntok6 1
PAIR bbbaa bbabaa len 5 6 ntok5 1 ntok6 1
PAIR bbbaa babbaa len 5 6 ntok5 1 ntok6 1
PAIR bbbaa babaab len 5 6 ntok5 1 ntok6 1
PAIR aaaba baab len 5 4 ntok5 1 ntok6 1
PAIR aaaba aabb len 5 4 ntok5 1 ntok6 1
PAIR aaaba baaba len 5 5 ntok5 1 ntok6 1
PAIR aaaba aabba len 5 5 ntok5 1 ntok6 1
PAIR aaaba bbaab len 5 5 ntok5 1 ntok6 1
PAIR aaaba aaabb len 5 5 ntok5 1 ntok6 1
PAIR aaaba baabb len 5 5 ntok5 1 ntok6 1
PAIR aaaba aabbb len 5 5 ntok5 1 ntok6 1
PAIR aaaba bbaaba len 5 6 ntok5 1 ntok6 1
PAIR aaaba abbaba len 5 6 ntok5 1 ntok6 1
PAIR aaaba aaabba len 5 6 ntok5 1 ntok6 1
PAIR aaaba baabba len 5 6 ntok5 1 ntok6 1
PAIR aaaba aabbba len 5 6 ntok5 1 ntok6 1
PAIR aaaba babaab len 5 6 ntok5 1 ntok6 1
PAIR aaaba bbbaab len 5 6 ntok5 1 ntok6 1
PAIR aaaba baabab len 5 6 ntok5 1 ntok6 1
PAIR aaaba aabbab len 5 6 ntok5 1 ntok6 1
PAIR aaaba aaaabb len 5 6 ntok5 1 ntok6 1
PAIR aaaba baaabb len 5 6 ntok5 1 ntok6 1
PAIR aaaba abaabb len 5 6 ntok5 1 ntok6 1
PAIR aaaba bbaabb len 5 6 ntok5 1 ntok6 1
PAIR aaaba aaabbb len 5 6 ntok5 1 ntok6 1
PAIR aaaba baabbb len 5 6 ntok5 1 ntok6 1
PAIR aaaba aabbbb len 5 6 ntok5 1 ntok6 1
PAIR baaba baaa len 5 4 ntok5 1 ntok6 1
PAIR baaba aaab len 5 4 ntok5 1 ntok6 1
PAIR baaba aabb len 5 4 ntok5 1 ntok6 1
PAIR baaba baaaa len 5 5 ntok5 1 ntok6 1
PAIR baaba bbaaa len 5 5 ntok5 1 ntok6 1
PAIR baaba aaaba len 5 5 ntok5 1 ntok6 1
PAIR baaba aabba len 5 5 ntok5 1 ntok6 1
PAIR baaba babba len 5 5 ntok5 1 ntok6 1
PAIR baaba aaaab len 5 5 ntok5 1 ntok6 1
PAIR baaba baaab len 5 5 ntok5 1 ntok6 1
PAIR baaba aaabb len 5 5 ntok5 1 ntok6 1
PAIR baaba baabb len 5 5 ntok5 1 ntok6 1
PAIR baaba aabbb len 5 5 ntok5 1 ntok6 1
PAIR baaba baaaaa len 5 6 ntok5 1 ntok6 1
PAIR baaba bbaaaa len 5 6 ntok5 1 ntok6 1
PAIR baaba babaaa len 5 6 ntok5 1 ntok6 1
PAIR baaba abbaaa len 5 6 ntok5 1 ntok6 1
PAIR baaba bbbaaa len 5 6 ntok5 1 ntok6 1
PAIR baaba aaaaba len 5 6 ntok5 1 ntok6 1
PAIR baaba baaaba len 5 6 ntok5 1 ntok6 1
PAIR baaba abbaba len 5 6 ntok5 1 ntok6 1
PAIR baaba aaabba len 5 6 ntok5 1 ntok6 1
PAIR baaba baabba len 5 6 ntok5 1 ntok6 1
PAIR baaba aabbba len 5 6 ntok5 1 ntok6 1
PAIR baaba aaaaab len 5 6 ntok5 1 ntok6 1
PAIR baaba baaaab len 5 6 ntok5 1 ntok6 1
PAIR baaba bbaaab len 5 6 ntok5 1 ntok6 1
PAIR baaba aaabab len 5 6 ntok5 1 ntok6 1
PAIR baaba aabbab len 5 6 ntok5 1 ntok6 1
